voting,date,time
glos_101_1,23-09-2015,09:09:34
glos_101_10,25-09-2015,09:45:57
glos_101_11,25-09-2015,09:46:32
glos_101_12,25-09-2015,09:47:02
glos_101_13,25-09-2015,09:47:34
glos_101_14,25-09-2015,09:48:03
glos_101_15,25-09-2015,09:48:30
glos_101_16,25-09-2015,09:48:58
glos_101_17,25-09-2015,09:49:26
glos_101_18,25-09-2015,09:49:52
glos_101_19,25-09-2015,09:50:16
glos_101_2,25-09-2015,09:17:33
glos_101_20,25-09-2015,09:51:38
glos_101_21,25-09-2015,09:52:01
glos_101_22,25-09-2015,09:55:38
glos_101_23,25-09-2015,09:56:09
glos_101_24,25-09-2015,09:56:58
glos_101_25,25-09-2015,09:58:40
glos_101_26,25-09-2015,09:59:05
glos_101_27,25-09-2015,09:59:48
glos_101_28,25-09-2015,10:04:06
glos_101_29,25-09-2015,10:04:43
glos_101_3,25-09-2015,09:23:18
glos_101_30,25-09-2015,10:17:19
glos_101_31,25-09-2015,10:18:00
glos_101_32,25-09-2015,10:19:47
glos_101_33,25-09-2015,10:20:13
glos_101_34,25-09-2015,10:20:36
glos_101_35,25-09-2015,10:22:14
glos_101_36,25-09-2015,10:22:43
glos_101_37,25-09-2015,10:23:08
glos_101_38,25-09-2015,10:23:31
glos_101_39,25-09-2015,10:24:37
glos_101_4,25-09-2015,09:28:06
glos_101_40,25-09-2015,10:25:16
glos_101_41,25-09-2015,10:25:58
glos_101_42,25-09-2015,10:26:36
glos_101_43,25-09-2015,10:27:28
glos_101_44,25-09-2015,10:28:22
glos_101_45,25-09-2015,10:29:17
glos_101_46,25-09-2015,10:34:22
glos_101_47,25-09-2015,10:36:42
glos_101_48,25-09-2015,10:37:15
glos_101_49,25-09-2015,10:37:41
glos_101_5,25-09-2015,09:38:47
glos_101_50,25-09-2015,10:38:05
glos_101_51,25-09-2015,10:38:47
glos_101_52,25-09-2015,10:39:26
glos_101_53,25-09-2015,10:42:17
glos_101_54,25-09-2015,11:19:38
glos_101_55,25-09-2015,11:20:50
glos_101_56,25-09-2015,11:21:19
glos_101_57,25-09-2015,11:21:51
glos_101_58,25-09-2015,11:22:20
glos_101_59,25-09-2015,11:23:03
glos_101_6,25-09-2015,09:40:17
glos_101_60,25-09-2015,11:23:29
glos_101_61,25-09-2015,11:23:55
glos_101_62,25-09-2015,11:25:55
glos_101_63,25-09-2015,11:30:00
glos_101_64,25-09-2015,11:30:55
glos_101_65,25-09-2015,11:31:21
glos_101_66,25-09-2015,11:31:48
glos_101_67,25-09-2015,11:32:12
glos_101_68,25-09-2015,11:37:55
glos_101_69,25-09-2015,11:38:38
glos_101_7,25-09-2015,09:40:40
glos_101_70,25-09-2015,11:41:30
glos_101_71,25-09-2015,11:52:42
glos_101_72,25-09-2015,11:54:46
glos_101_73,25-09-2015,11:59:52
glos_101_74,25-09-2015,12:01:43
glos_101_75,25-09-2015,12:12:32
glos_101_76,25-09-2015,12:13:04
glos_101_77,25-09-2015,12:42:38
glos_101_78,25-09-2015,12:46:09
glos_101_79,25-09-2015,12:46:55
glos_101_8,25-09-2015,09:41:39
glos_101_9,25-09-2015,09:42:50
glos_102_1,08-10-2015,09:06:44
glos_102_10,09-10-2015,09:20:48
glos_102_11,09-10-2015,09:21:39
glos_102_12,09-10-2015,09:26:33
glos_102_13,09-10-2015,09:27:42
glos_102_14,09-10-2015,09:28:15
glos_102_15,09-10-2015,09:28:48
glos_102_16,09-10-2015,09:29:20
glos_102_17,09-10-2015,09:29:53
glos_102_18,09-10-2015,09:30:25
glos_102_19,09-10-2015,09:30:58
glos_102_2,08-10-2015,09:07:27
glos_102_20,09-10-2015,09:31:35
glos_102_21,09-10-2015,09:32:05
glos_102_22,09-10-2015,09:33:04
glos_102_23,09-10-2015,09:33:42
glos_102_24,09-10-2015,09:34:12
glos_102_25,09-10-2015,09:34:49
glos_102_26,09-10-2015,09:35:25
glos_102_27,09-10-2015,09:35:57
glos_102_28,09-10-2015,09:36:58
glos_102_29,09-10-2015,09:37:30
glos_102_3,08-10-2015,19:03:31
glos_102_30,09-10-2015,09:38:06
glos_102_31,09-10-2015,09:38:36
glos_102_32,09-10-2015,09:39:06
glos_102_33,09-10-2015,09:39:44
glos_102_34,09-10-2015,09:40:48
glos_102_35,09-10-2015,09:41:26
glos_102_36,09-10-2015,09:42:01
glos_102_37,09-10-2015,09:43:15
glos_102_38,09-10-2015,09:43:52
glos_102_39,09-10-2015,09:44:22
glos_102_4,08-10-2015,19:04:11
glos_102_40,09-10-2015,09:44:59
glos_102_41,09-10-2015,09:45:30
glos_102_42,09-10-2015,09:45:59
glos_102_43,09-10-2015,09:46:28
glos_102_44,09-10-2015,09:46:59
glos_102_45,09-10-2015,09:47:57
glos_102_46,09-10-2015,09:48:26
glos_102_47,09-10-2015,09:48:57
glos_102_48,09-10-2015,09:49:26
glos_102_49,09-10-2015,09:50:02
glos_102_5,08-10-2015,19:04:46
glos_102_50,09-10-2015,09:50:48
glos_102_51,09-10-2015,09:51:18
glos_102_52,09-10-2015,09:51:49
glos_102_53,09-10-2015,09:56:40
glos_102_54,09-10-2015,10:01:14
glos_102_55,09-10-2015,10:01:52
glos_102_56,09-10-2015,10:02:30
glos_102_57,09-10-2015,10:03:06
glos_102_58,09-10-2015,10:03:51
glos_102_59,09-10-2015,10:04:29
glos_102_6,08-10-2015,19:05:21
glos_102_60,09-10-2015,10:05:05
glos_102_61,09-10-2015,10:05:38
glos_102_62,09-10-2015,10:06:06
glos_102_63,09-10-2015,10:06:36
glos_102_64,09-10-2015,10:08:23
glos_102_65,09-10-2015,10:09:00
glos_102_66,09-10-2015,10:10:19
glos_102_67,09-10-2015,10:11:14
glos_102_68,09-10-2015,10:13:50
glos_102_69,09-10-2015,10:14:22
glos_102_7,08-10-2015,19:05:57
glos_102_70,09-10-2015,10:17:36
glos_102_71,09-10-2015,10:18:46
glos_102_72,09-10-2015,10:19:18
glos_102_73,09-10-2015,10:19:57
glos_102_74,09-10-2015,10:20:26
glos_102_75,09-10-2015,10:21:24
glos_102_76,09-10-2015,10:22:21
glos_102_77,09-10-2015,10:23:00
glos_102_78,09-10-2015,10:23:41
glos_102_79,09-10-2015,10:24:21
glos_102_8,09-10-2015,09:18:43
glos_102_80,09-10-2015,10:24:58
glos_102_9,09-10-2015,09:19:47
glos_10_1,16-03-2012,09:04:53
glos_10_10,16-03-2012,09:38:40
glos_10_11,16-03-2012,09:39:53
glos_10_12,16-03-2012,09:40:50
glos_10_13,16-03-2012,09:41:55
glos_10_14,16-03-2012,09:43:11
glos_10_15,16-03-2012,09:44:04
glos_10_16,16-03-2012,09:44:48
glos_10_17,16-03-2012,09:47:58
glos_10_18,16-03-2012,09:49:01
glos_10_19,16-03-2012,09:49:52
glos_10_2,16-03-2012,09:13:16
glos_10_20,16-03-2012,09:50:53
glos_10_21,16-03-2012,09:51:48
glos_10_22,16-03-2012,09:52:48
glos_10_23,16-03-2012,09:53:36
glos_10_24,16-03-2012,09:57:28
glos_10_25,16-03-2012,09:58:30
glos_10_26,16-03-2012,09:59:36
glos_10_27,16-03-2012,10:09:31
glos_10_28,16-03-2012,10:11:23
glos_10_29,16-03-2012,10:17:58
glos_10_3,16-03-2012,09:14:22
glos_10_30,16-03-2012,10:30:44
glos_10_31,16-03-2012,10:34:37
glos_10_32,16-03-2012,10:39:55
glos_10_33,16-03-2012,10:41:54
glos_10_34,16-03-2012,10:44:03
glos_10_4,16-03-2012,09:17:50
glos_10_5,16-03-2012,09:21:17
glos_10_6,16-03-2012,09:23:44
glos_10_7,16-03-2012,09:28:18
glos_10_8,16-03-2012,09:33:45
glos_10_9,16-03-2012,09:37:03
glos_11_1,30-03-2012,09:24:10
glos_11_10,30-03-2012,18:30:30
glos_11_11,30-03-2012,18:32:50
glos_11_12,30-03-2012,18:40:51
glos_11_13,30-03-2012,18:43:57
glos_11_14,30-03-2012,18:47:16
glos_11_15,30-03-2012,18:49:21
glos_11_16,30-03-2012,18:50:04
glos_11_17,30-03-2012,18:50:44
glos_11_18,30-03-2012,18:51:27
glos_11_19,30-03-2012,18:52:20
glos_11_2,30-03-2012,18:05:22
glos_11_20,30-03-2012,18:53:00
glos_11_21,30-03-2012,18:53:36
glos_11_22,30-03-2012,18:54:16
