,PiS,PO,Kukiz15,N,PSL-UED,WiS,niez.,Republikanie,posel,najblizsza_partia,partia_ostatnio
0,0.0899749184309,0.703479560728,0.561317570218,0.72350580511,0.99980735889,0.355024722276,0.443669446203,0.920952931356,ABRAMOWICZ ADAM,PiS,PiS
1,0.140513213793,0.725058869243,0.595904136528,0.742056513864,0.99980735889,0.408476208823,0.474035724224,0.923007769858,ADAMCZYK ANDRZEJ,PiS,PiS
2,0.746616043997,0.247249864204,0.566507036758,0.375581703675,0.999711038336,0.812007962499,0.615311222415,0.909490785334,AJCHLER ZBIGNIEW,PO,PO
3,0.473626337668,0.601184216601,0.367200729915,0.629799349391,0.99980735889,0.576972966031,0.544421510979,0.912348295126,ANDRUSZKIEWICZ ADAM,Kukiz15,WiS
4,0.0466775607953,0.700185465783,0.559470652941,0.726770740893,0.99980735889,0.336791241251,0.429507113961,0.91722853657,ANDZEL WALDEMAR,PiS,PiS
5,0.628849750261,0.485062445027,0.320617473255,0.515358495744,0.99980735889,0.707567584923,0.547624245871,0.90862390034,APEL PIOTR,Kukiz15,Kukiz15
6,0.0818916788144,0.715876559593,0.579442251733,0.740835010861,0.99980735889,0.358675271303,0.451794849449,0.918448596931,ARCISZEWSKA-MIELEWCZYK DOROTA,PiS,PiS
7,0.0923857236982,0.710706574403,0.574725346824,0.730091296748,0.99980735889,0.375778591151,0.451033687732,0.925191035767,ARDANOWSKI JAN KRZYSZTOF,PiS,PiS
8,0.103751007747,0.706822801845,0.575713412242,0.732907801968,0.969081101907,0.33437680601,0.464125638697,0.886951775509,ARENT IWONA,PiS,PiS
9,0.470157162425,0.512110191267,0.500315698729,0.513040759253,0.530629936428,0.530629936428,0.489998715726,0.530629936428,ARENT IWONA EWA,PiS,
10,0.689500889972,0.102095779462,0.505757410946,0.261927252814,0.999518397226,0.765327810955,0.544488323808,0.907757015347,ARNDT PAWE?,PO,PO
11,0.710754708077,0.149153699245,0.532763216396,0.299193538868,0.99980735889,0.782206382842,0.570820146591,0.91684325435,AR?UKOWICZ BARTOSZ,PO,PO
12,0.0738235233248,0.704195130798,0.567844254817,0.729753863339,0.99980735889,0.35942657163,0.441924056594,0.919476016182,AST MAREK,PiS,PiS
13,0.694705767269,0.102609124079,0.509220912023,0.268386627118,0.999614717781,0.76413664676,0.550489629487,0.90701855776,AUGUSTYN URSZULA,PO,PO
14,0.723641968386,0.305732817554,0.569197314908,0.289965812895,0.99980735889,0.795017016631,0.615098552745,0.913696782893,AUGUSTYNOWSKA JOANNA,N,PO
15,0.700414076735,0.129155199102,0.511121307145,0.279877676462,0.999614717781,0.763850895781,0.557011677721,0.906954344057,AZIEWICZ TADEUSZ,PO,PO
16,0.0582579817726,0.701981667348,0.563571834117,0.727701350817,0.99980735889,0.342281512875,0.435185363557,0.918384383227,BABALSKI ZBIGNIEW,PiS,PiS
17,0.0932984951634,0.712396320175,0.572553896047,0.737109399005,0.99980735889,0.369816348809,0.452057208294,0.9218519232,BABIARZ PIOTR ?UKASZ,PiS,niez.
18,0.0466584527608,0.701562197596,0.559157356157,0.727418924446,0.99980735889,0.335667501445,0.430376139411,0.917292750273,BABINETZ PIOTR,PiS,PiS
19,0.501293027055,0.513301900838,0.232384040704,0.54109011532,0.99980735889,0.61362614782,0.491396433999,0.895909587106,BAKUN WOJCIECH,Kukiz15,Kukiz15
20,0.0474513311001,0.701648727356,0.559003134292,0.727468645831,0.99980735889,0.336084890516,0.430378203423,0.917549605086,BARTOSIK RYSZARD,PiS,PiS
