,Data i miejsce urodzenia:,Funkcja w Sejmie:,Klub/koło:,Liczba głosów:,Lista:,Okręg wyborczy:,Staż parlamentarny:,Strona WWW:,Tytuł/stopień naukowy:,Ukończona szkoła:,Wybrany dnia:,Wygaśnięcie mandatu:,Wykształcenie:,Zawód:,imie
0,10-03-1961,,Klub Parlamentarny Prawo i Sprawiedliwość,10500,Prawo i Sprawiedliwość,7  Chełm,"poseł VI kadencji, poseł VII kadencji",,,"Politechnika Lubelska, Wydział Mechaniczny i Organizacji Górnictwa i Geologii - magister inżynier (1985)",25-10-2015,,wyższe,poseł na Sejm,Adam Abramowicz
1,04-01-1959,,Klub Parlamentarny Prawo i Sprawiedliwość,18514,Prawo i Sprawiedliwość,13  Kraków,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Społeczna Akademia Nauk w Łodzi, Wydział Zarządzania, Rachunkowość i finanse w zarządzaniu - licencjat (2014)",25-10-2015,,wyższe,parlamentarzysta,Andrzej Adamczyk
2,21-11-1955,,Klub Parlamentarny Platforma Obywatelska,7275,Platforma Obywatelska,38  Piła,brak,,,"Akademia Rolnicza w Poznaniu, Wydział Rolniczy, Mechanizacja rolnictwa - magister inżynier (1981)",25-10-2015,,wyższe,agroprzedsiębiorca,Zbigniew Ajchler
3,30-06-1990,,Koło Poselskie Wolni i Solidarni,15668,Kukiz'15,24  Białystok,brak,,,"Uniwersytet w Białymstoku, Wydział Historyczno-Socjologiczny, Stosunki międzynarodowe - magister (2014)",25-10-2015,,wyższe,specjalista ds. medialnych,Adam Andruszkiewicz
4,17-09-1971,,Klub Parlamentarny Prawo i Sprawiedliwość,12021,Prawo i Sprawiedliwość,32  Sosnowiec,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Uniwersytet Śląski w Katowicach, Wydział Nauk Społecznych, Politologia - magister (1996)",25-10-2015,,wyższe,poseł na Sejm RP,Waldemar Andzel
5,08-02-1984,,Klub Poselski Kukiz'15,7935,Kukiz'15,9  Łódź,brak,,,XLI Liceum Ogólnokształcące im. Joachima Lelewela w Warszawie (2003),25-10-2015,,średnie ogólne,dziennikarz,Piotr Apel
6,16-02-1968,,Klub Parlamentarny Prawo i Sprawiedliwość,25054,Prawo i Sprawiedliwość,26  Gdynia,"poseł III kadencji, poseł IV kadencji, senator VI kadencji, senator VII kadencji, poseł VII kadencji",,,"Uniwersytet Gdański, Wydział Ekonomiki transportu, Ekonomiczno-społeczny - magister (1992)",25-10-2015,,wyższe,ekonomista,Dorota Arciszewska-Mielewczyk
7,11-02-1961,,Klub Parlamentarny Prawo i Sprawiedliwość,18366,Prawo i Sprawiedliwość,5  Toruń,poseł VII kadencji,,,"Akademia Techniczno-Rolnicza w Bydgoszczy, Wydział Rolniczy, Rolnictwo - magister inżynier (1985)",25-10-2015,,wyższe,inżynier rolnictwa,Jan Krzysztof Ardanowski
8,04-06-1968,,Klub Parlamentarny Prawo i Sprawiedliwość,26377,Prawo i Sprawiedliwość,35  Olsztyn,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji",,,"Wyższa Szkoła Pedagogiczna, Wydział Humanistyczny, Politologia i nauki społeczne - magister (1999)",25-10-2015,,wyższe,politolog,Iwona Arent
9,30-12-1971,,Klub Parlamentarny Platforma Obywatelska,20678,Platforma Obywatelska,41  Szczecin,"poseł VI kadencji, poseł VII kadencji",,,"Pomorska Akademia Medyczna, Wydział Lekarski - lekarz (1996)",25-10-2015,,wyższe,lekarz,Bartosz Arłukowicz
