data_uro,klub,glosy_cnt,lista,okreg,staz,strona,tytul,szkola,wybrany,wygas,wyksztalcenie,zawod,nazwisko,kadencje_cnt
10-03-1961,Klub Parlamentarny Prawo i Sprawiedliwosc,10500,Prawo i Sprawiedliwosc,7  Chelm,posel VI kadencji, posel VII kadencji,,,Politechnika Lubelska, Wydzial Mechaniczny i Organizacji Górnictwa i Geologii - magister inzynier (1985),25-10-2015,,wyzsze,posel na Sejm,Adam Abramowicz,2
04-01-1959,Klub Parlamentarny Prawo i Sprawiedliwosc,18514,Prawo i Sprawiedliwosc,13  Kraków,posel V kadencji, posel VI kadencji, posel VII kadencji,,,Spoleczna Akademia Nauk w Lodzi, Wydzial Zarzadzania, Rachunkowosc i finanse w zarzadzaniu - licencjat (2014),25-10-2015,,wyzsze,parlamentarzysta,Andrzej Adamczyk,3
21-11-1955,Klub Parlamentarny Platforma Obywatelska,7275,Platforma Obywatelska,38  Pila,brak,,,Akademia Rolnicza w Poznaniu, Wydzial Rolniczy, Mechanizacja rolnictwa - magister inzynier (1981),25-10-2015,,wyzsze,agroprzedsiebiorca,Zbigniew Ajchler,0
30-06-1990,Kolo Poselskie Wolni i Solidarni,15668,Kukiz'15,24  Bialystok,brak,,,Uniwersytet w Bialymstoku, Wydzial Historyczno-Socjologiczny, Stosunki miedzynarodowe - magister (2014),25-10-2015,,wyzsze,specjalista ds. medialnych,Adam Andruszkiewicz,0
17-09-1971,Klub Parlamentarny Prawo i Sprawiedliwosc,12021,Prawo i Sprawiedliwosc,32  Sosnowiec,posel V kadencji, posel VI kadencji, posel VII kadencji,,,Uniwersytet Slaski w Katowicach, Wydzial Nauk Spolecznych, Politologia - magister (1996),25-10-2015,,wyzsze,posel na Sejm RP,Waldemar Andzel,3
08-02-1984,Klub Poselski Kukiz'15,7935,Kukiz'15,9  Lódz,brak,,,XLI Liceum Ogólnoksztalcace im. Joachima Lelewela w Warszawie (2003),25-10-2015,,srednie ogólne,dziennikarz,Piotr Apel,0
16-02-1968,Klub Parlamentarny Prawo i Sprawiedliwosc,25054,Prawo i Sprawiedliwosc,26  Gdynia,posel III kadencji, posel IV kadencji, senator VI kadencji, senator VII kadencji, posel VII kadencji,,,Uniwersytet Gdanski, Wydzial Ekonomiki transportu, Ekonomiczno-spoleczny - magister (1992),25-10-2015,,wyzsze,ekonomista,Dorota Arciszewska-Mielewczyk,3
11-02-1961,Klub Parlamentarny Prawo i Sprawiedliwosc,18366,Prawo i Sprawiedliwosc,5  Torun,posel VII kadencji,,,Akademia Techniczno-Rolnicza w Bydgoszczy, Wydzial Rolniczy, Rolnictwo - magister inzynier (1985),25-10-2015,,wyzsze,inzynier rolnictwa,Jan Krzysztof Ardanowski,1
04-06-1968,Klub Parlamentarny Prawo i Sprawiedliwosc,26377,Prawo i Sprawiedliwosc,35  Olsztyn,posel V kadencji, posel VI kadencji, posel VII kadencji,,,Wyzsza Szkola Pedagogiczna, Wydzial Humanistyczny, Politologia i nauki spoleczne - magister (1999),25-10-2015,,wyzsze,politolog,Iwona Arent,3
30-12-1971,Klub Parlamentarny Platforma Obywatelska,20678,Platforma Obywatelska,41  Szczecin,posel VI kadencji, posel VII kadencji,,,Pomorska Akademia Medyczna, Wydzial Lekarski - lekarz (1996),25-10-2015,,wyzsze,lekarz,Bartosz Arlukowicz,2
