,posel
0,ABRAMOWICZ ADAM
1,ADAMCZYK ANDRZEJ
2,AJCHLER ZBIGNIEW
3,ANDRUSZKIEWICZ ADAM
4,ANDZEL WALDEMAR
5,APEL PIOTR
6,ARCISZEWSKA-MIELEWCZYK DOROTA
7,ARDANOWSKI JAN KRZYSZTOF
8,ARENT IWONA
9,ARENT IWONA EWA
10,ARNDT PAWE?
11,AR?UKOWICZ BARTOSZ
12,AST MAREK
13,AUGUSTYN URSZULA
14,AUGUSTYNOWSKA JOANNA
15,AZIEWICZ TADEUSZ
16,BABALSKI ZBIGNIEW
17,BABIARZ PIOTR ?UKASZ
18,BABINETZ PIOTR
19,BAKUN WOJCIECH
20,BARTOSIK RYSZARD
21,BARTU? BARBARA
22,BASZKO MIECZYS?AW KAZIMIERZ
23,BA?KOWSKI PAWE?
24,BEJDA PAWE?
25,BERNACKI W ?ODZIMIERZ
26,BERNACKI W?ODZIMIERZ
27,BIA?KOWSKA ANNA
28,BIELECKI JERZY
29,BIERNACKI MAREK
30,BIERNAT ZBIGNIEW
31,BOGUCKI JACEK
32,BOROWCZAK JERZY
33,BOROWIAK JOANNA
34,BOROWIEC AGATA
35,BOROWSKA EL?BIETA
36,BORYS-SZOPA BO?ENA
37,BREJZA KRZYSZTOF
38,BRUDZI?SKI JOACHIM
39,BRYNKUS JÓZEF
40,BUBULA BARBARA
41,BUCZAK WOJCIECH
42,BUDA WALDEMAR
43,BUDKA BORYS
44,BUKIEWICZ BO?ENNA
45,BURZY?SKA LIDIA
46,B?K DARIUSZ
47,B?ASZCZAK MARIUSZ
48,B?E?SKA MAGDALENA
49,CHMIEL MA?GORZATA
50,CHMIELOWIEC ZBIGNIEW
51,CHROBAK BARBARA
52,CHRUSZCZ SYLWESTER
53,CHYBICKA ALICJA
54,CICHOLSKA ANNA
55,CICHO? JANUSZ
56,CIE?LAK MICHA?
57,CIE?LI?SKI PIOTR
58,CIMOSZEWICZ TOMASZ
59,CYMA?SKI TADEUSZ
60,CYRA?SKI ADAM
61,CZABA?SKI KRZYSZTOF
62,CZARNECKI PRZEMYS?AW
63,CZARNECKI WITOLD
64,CZARTORYSKI ARKADIUSZ
65,CZECH ANNA
66,CZERNOW ZOFIA
67,CZERWI?SKA ANITA
68,CZERWI?SKI ANDRZEJ
69,CZOCHARA KATARZYNA
70,DOBRZY?SKI LESZEK
71,DOLATA ZBIGNIEW
72,DOLNIAK BARBARA
73,DROZD EWA
74,DUDA ANTONI
75,DUDA EL?BIETA
76,DUDA JAN
77,DUNIN ARTUR
78,DUSZEK MARCIN
79,DWORCZYK MICHA?
80,DZIEDZICZAK JAN
81,DZIKOWSKI WALDY
82,DZIUBA TADEUSZ
83,DZIUK BARBARA
84,D?UGI GRZEGORZ
85,FABISIAK JOANNA
86,FALFUS JACEK
87,FILIPIAK EWA
88,FRYDRYCH JOANNA
89,FURGO GRZEGORZ
90,GADOWSKI KRZYSZTOF
91,GAJEWSKA KINGA
92,GAJEWSKA-P?OCHOCKA KINGA
93,GALEMBA LESZEK
94,GALLA RYSZARD
95,GAPI?SKA EL?BIETA
96,GASIUK-PIHOWICZ KAMILA
97,GAW ?OWSKI STANIS?AW
98,GAWLIK ZDZIS?AW
99,GAWRON ANDRZEJ
100,GELERT EL?BIETA
101,GIERADA ARTUR
102,GI?Y?SKI SZYMON
103,GLENC TERESA
104,GLI?SKI PIOTR
105,GOLBIK MARTA
106,GOLI?SKA MA?GORZATA
107,GONCIARZ JAROS?AW
108,GOSIEWSKA MA?GORZATA
109,GOSIEWSKI JERZY
110,GOWIN JAROS?AW
111,GO?OJUCH KAZIMIERZ
112,GRABARCZYK CEZARY
113,GRABIEC JAN
114,GRABOWSKI PAWE?
115,GRUPI?SKI RAFA?
116,GRYGLAS ZBIGNIEW
